algo,pattern,num,time,data,memory,realmemory
V4.7,ex4_2,5,78227,soc-Epinions1,57708KB,
V4.7,ex4_2,30,131944,soc-Slashdot,91553KB,
V4.7,ex4_2,124,60945816,soc-Pokec,2504355KB,
V4.7,ex4_2,1199,494582117,soc-LiveJournal1,5542907KB,
V4.5,ex4_2,5,245,soc-Epinions1,39043KB,39038KB
V4.5,ex4_2,30,756,soc-Slashdot,68001KB,67997KB
V4.5,ex4_2,124,10848,soc-Pokec,2093670KB,2093666KB
V4.5,ex4_2,1226,42284,soc-LiveJournal1,4664328KB,4664324KB
V4.4,ex4_2,5,961,soc-Epinions1,39817KB,39813KB
V4.4,ex4_2,30,2797,soc-Slashdot,68288KB,68280KB
V4.4,ex4_2,124,41541,soc-Pokec,2095554KB,2095550KB
V4.4,ex4_2,1226,168826,soc-LiveJournal1,4676526KB,4676521KB
