algo,pattern,num,time,data,peakmemory,memory
V4.1,synP_1,416,5310,soc-Epinions1,56893KB,56889KB
V4.1,synP_2,446,9731,soc-Epinions1,63557KB,63553KB
V4.1,synP_3,351,13880,soc-Epinions1,71176KB,71172KB
V4.1,synP_4,308,9355,soc-Epinions1,76378KB,76374KB
V4.1,synP_5,279,10411,soc-Epinions1,81473KB,81469KB
V4.1,synP_1_4_1,584,5366,soc-Epinions1,56860KB,
V4.1,synP_1_7_1,416,5352,soc-Epinions1,56913KB,
V4.1,synP_1_10_1,354,25316,soc-Epinions1,1574277KB,
V4.1,synP_1,1510,15608,soc-Slashdot,125890KB,125886KB
V4.1,synP_2,1461,24540,soc-Slashdot,153677KB,153673KB
V4.1,synP_3,1254,29537,soc-Slashdot,181747KB,181723KB
V4.1,synP_4,1181,26294,soc-Slashdot,199254KB,199249KB
V4.1,synP_5,1105,30639,soc-Slashdot,224276KB,224272KB
V4.1,synP_1_4_1,1832,15240,soc-Slashdot,125509KB,
V4.1,synP_1_7_1,1510,15856,soc-Slashdot,126377KB,
V4.1,synP_1_10_1,1297,67751,soc-Slashdot,4211953KB,
V4.1,synP_1,28141,347353,soc-yPokec,3302330KB,3302326KB
V4.1,synP_2,17374,1873897,soc-yPokec,3781636KB,3781632KB
V4.1,synP_3,13197,2502400,soc-yPokec,4313112KB,4313108KB
V4.1,synP_4,10864,558613,soc-yPokec,4699549KB,4699545KB
V4.1,synP_5,9321,682095,soc-yPokec,5023055KB,5023051KB
V4.1,synP_1_4_1,37033,302428,soc-yPokec,3189940KB,
V4.1,synP_1_7_1,28141,325764,soc-yPokec,3302686KB,
V4.1,synP_1_10_1,21167,24937024,soc-yPokec,25485848KB,
V4.1,synP_1,71023,898705,soc-zLiveJournal1,7348260KB,7348256KB
V4.1,synP_2,51795,1689155,soc-zLiveJournal1,8429809KB,8427261KB
V4.1,synP_3,43913,2909061,soc-zLiveJournal1,9692741KB,9689751KB
V4.1,synP_4,39481,1459698,soc-zLiveJournal1,10652004KB,10652000KB
V4.1,synP_5,36527,1691154,soc-zLiveJournal1,11698262KB,11698257KB
V4.1,synP_1_4_1,99980,693393,soc-zLiveJournal1,7159623KB,
V4.1,synP_1_7_1,71023,843628,soc-zLiveJournal1,7348350KB,
V4.3,synP_1,416,3924,soc-Epinions1,56684KB,56680KB
V4.3,synP_2,446,7798,soc-Epinions1,63275KB,63270KB
V4.3,synP_3,351,11289,soc-Epinions1,71122KB,71118KB
V4.3,synP_4,308,6776,soc-Epinions1,76038KB,76034KB
V4.3,synP_5,279,7687,soc-Epinions1,81301KB,81297KB
V4.3,synP_1,1510,11942,soc-Slashdot,126324KB,126320KB
V4.3,synP_2,1461,18750,soc-Slashdot,153030KB,153026KB
V4.3,synP_3,1254,23062,soc-Slashdot,182013KB,182009KB
V4.3,synP_4,1181,19401,soc-Slashdot,198406KB,198402KB
V4.3,synP_5,1105,22501,soc-Slashdot,224337KB,224333KB
V4.3,synP_1,28141,258772,soc-yPokec,3300167KB,3300163KB
V4.3,synP_2,17374,1531422,soc-yPokec,3775721KB,3775717KB
V4.3,synP_3,13197,2115206,soc-yPokec,4303351KB,4303347KB
V4.3,synP_4,10864,427284,soc-yPokec,4683255KB,4683251KB
V4.3,synP_5,9321,465014,soc-yPokec,5003845KB,5003841KB
V4.3,synP_1,71023,738217,soc-zLiveJournal1,7344504KB,7344156KB
V4.3,synP_2,51795,1432657,soc-zLiveJournal1,8416010KB,8413036KB
V4.3,synP_3,43913,2464285,soc-zLiveJournal1,9676632KB,9673637KB
V4.3,synP_4,39481,1172015,soc-zLiveJournal1,10615300KB,10615296KB
V4.3,synP_5,36527,1368718,soc-zLiveJournal1,11664977KB,11664973KB
V4.4,synP_1,416,4485,soc-Epinions1,57094KB,57090KB
V4.4,synP_2,446,8667,soc-Epinions1,63348KB,63344KB
V4.4,synP_3,351,12687,soc-Epinions1,71061KB,71057KB
V4.4,synP_4,308,8303,soc-Epinions1,76361KB,76357KB
V4.4,synP_5,279,9266,soc-Epinions1,81317KB,81313KB
V4.4,synP_1,1510,13150,soc-Slashdot,126554KB,126550KB
V4.4,synP_2,1461,21135,soc-Slashdot,152748KB,152743KB
V4.4,synP_3,1254,26288,soc-Slashdot,181821KB,181817KB
V4.4,synP_4,1181,23473,soc-Slashdot,199737KB,199733KB
V4.4,synP_5,1105,27327,soc-Slashdot,224616KB,224485KB
V4.4,synP_1,28141,287917,soc-yPokec,3309654KB,3309649KB
V4.4,synP_2,17374,1563782,soc-yPokec,3780448KB,3780444KB
V4.4,synP_3,13197,2187047,soc-yPokec,4317868KB,4317863KB
V4.4,synP_4,10864,515447,soc-yPokec,4699021KB,4699017KB
V4.4,synP_5,9321,566559,soc-yPokec,5023182KB,5023178KB
V4.4,synP_1,71023,806078,soc-zLiveJournal1,7377924KB,7377920KB
V4.4,synP_2,51795,1595191,soc-zLiveJournal1,8460402KB,8460398KB
V4.4,synP_3,43913,2825738,soc-zLiveJournal1,9740292KB,9740288KB
V4.4,synP_4,39481,1438347,soc-zLiveJournal1,10654900KB,10654896KB
V4.4,synP_5,36527,1708902,soc-zLiveJournal1,11707764KB,11707760KB
V4.5,synP_1,416,3680,soc-Epinions1,56897KB,56893KB
V4.5,synP_2,446,7639,soc-Epinions1,63307KB,63303KB
V4.5,synP_3,351,11097,soc-Epinions1,71012KB,71008KB
V4.5,synP_4,308,6805,soc-Epinions1,76316KB,76312KB
V4.5,synP_5,279,7662,soc-Epinions1,81203KB,81199KB
V4.5,synP_1,1510,11567,soc-Slashdot,126078KB,126074KB
V4.5,synP_2,1461,18768,soc-Slashdot,152911KB,152907KB
V4.5,synP_3,1254,23195,soc-Slashdot,181719KB,181714KB
V4.5,synP_4,1181,19531,soc-Slashdot,198512KB,198508KB
V4.5,synP_5,1105,22375,soc-Slashdot,224522KB,224518KB
V4.5,synP_1,28141,248844,soc-yPokec,3302633KB,3302629KB
V4.5,synP_2,17374,1511643,soc-yPokec,3768418KB,3768414KB
V4.5,synP_3,13197,2090812,soc-yPokec,4302139KB,4302135KB
V4.5,synP_4,10864,430162,soc-yPokec,4679290KB,4679286KB
V4.5,synP_5,9321,468641,soc-yPokec,5002534KB,5002530KB
V4.5,synP_1,71023,677290,soc-zLiveJournal1,7362588KB,7362584KB
V4.5,synP_2,51795,1426624,soc-zLiveJournal1,8432037KB,8432033KB
V4.5,synP_3,43913,2547008,soc-zLiveJournal1,9588686KB,9588682KB
V4.5,synP_4,39481,1158580,soc-zLiveJournal1,10616541KB,10616537KB
V4.5,synP_5,36527,1379727,soc-zLiveJournal1,11662598KB,11662594KB
V4.1,synP_88,616,33072,soc-Epinions1,71585KB,
V4.1,synP_88,859,636960,soc-zLiveJournal1,4724797KB,
V4.1,synP_88,8,1783,soc-Epinions1,40595KB,
V4.1,synP_88,4,6893,soc-Slashdot,70037KB,
V4.1,synP_88,24,67277,soc-yPokec,2102394KB,
